name,price,quantity,brand,category,entry_date
Laptop,1200,4,BrandName,Electronics,2024-01-05
Mouse,45,120,TechGear,Accessories,2024-02-10
Headphones,150,25,SoundMax,Audio,2024-03-15
Wireless Charger,75,100,ChargeMaster,Accessories,2024-07-01
Smartphone,999,50,PhoneTech,Electronics,2024-04-20
Keyboard,60,80,KeyMaster,Accessories,2024-05-05
Monitor,300,30,ScreenPro,Electronics,2024-06-12
External Hard Drive,120,40,DataKeep,Storage,2024-03-25
Webcam,85,70,VisionCam,Accessories,2024-02-28
Tablet,650,20,TabTech,Electronics,2024-01-15
Wireless Charger,80,40,ChargerMaster,Electronics,2025-09-25
Wireless Charger,80,40,ChargerMaster,Electronics,2025-09-25
